,chromosome,gene_id,new_start,tss_same,tss_len,n_tss_same,n_iso,max_tss_size,num_tss_1_iso,tss_class,gene_name,tss_same_name,filter,idx
22,1,ENSMUSG00000002459,5019379,"['ENSMUST00000170566', 'ENSMUST00000156289']",2,2,7,2,5,22,Rgs20_ENSMUSG00000002459,Rgs20-206_ENSMUST00000156289,0,7
23,1,ENSMUSG00000002459,5019539,['ENSMUST00000002533'],1,1,7,2,5,23,Rgs20_ENSMUSG00000002459,Rgs20-201_ENSMUST00000002533,0,8
44,1,ENSMUSG00000003458,172068064,['ENSMUST00000135928'],1,1,6,4,2,44,Ncstn_ENSMUSG00000003458,Ncstn-203_ENSMUST00000135928,0,9
45,1,ENSMUSG00000003458,172071268,['ENSMUST00000122986'],1,1,6,4,2,45,Ncstn_ENSMUSG00000003458,Ncstn-202_ENSMUST00000122986,0,10
46,1,ENSMUSG00000003458,172082795,"['ENSMUST00000003550', 'ENSMUST00000140643', 'ENSMUST00000146137', 'ENSMUST00000142825']",4,4,6,4,2,46,Ncstn_ENSMUSG00000003458,Ncstn-201_ENSMUST00000003550,0,11
46,1,ENSMUSG00000003458,172082795,"['ENSMUST00000003550', 'ENSMUST00000140643', 'ENSMUST00000146137', 'ENSMUST00000142825']",4,4,6,4,2,46,Ncstn_ENSMUSG00000003458,Ncstn-204_ENSMUST00000140643,0,11
46,1,ENSMUSG00000003458,172082795,"['ENSMUST00000003550', 'ENSMUST00000140643', 'ENSMUST00000146137', 'ENSMUST00000142825']",4,4,6,4,2,46,Ncstn_ENSMUSG00000003458,Ncstn-206_ENSMUST00000146137,0,11
46,1,ENSMUSG00000003458,172082795,"['ENSMUST00000003550', 'ENSMUST00000140643', 'ENSMUST00000146137', 'ENSMUST00000142825']",4,4,6,4,2,46,Ncstn_ENSMUSG00000003458,Ncstn-205_ENSMUST00000142825,0,11
47,1,ENSMUSG00000003464,172126755,['ENSMUST00000075895'],1,1,6,2,4,47,Pex19_ENSMUSG00000003464,Pex19-201_ENSMUST00000075895,0,12
48,1,ENSMUSG00000003464,172126756,['ENSMUST00000147799'],1,1,6,2,4,48,Pex19_ENSMUSG00000003464,Pex19-206_ENSMUST00000147799,0,13
49,1,ENSMUSG00000003464,172126762,['ENSMUST00000111252'],1,1,6,2,4,49,Pex19_ENSMUSG00000003464,Pex19-202_ENSMUST00000111252,0,14
50,1,ENSMUSG00000003464,172126773,"['ENSMUST00000133546', 'ENSMUST00000127662']",2,2,6,2,4,50,Pex19_ENSMUSG00000003464,Pex19-205_ENSMUST00000133546,0,15
50,1,ENSMUSG00000003464,172126773,"['ENSMUST00000133546', 'ENSMUST00000127662']",2,2,6,2,4,50,Pex19_ENSMUSG00000003464,Pex19-203_ENSMUST00000127662,0,15
51,1,ENSMUSG00000003464,172133960,['ENSMUST00000133081'],1,1,6,2,4,51,Pex19_ENSMUSG00000003464,Pex19-204_ENSMUST00000133081,0,16
85,1,ENSMUSG00000004451,119504794,"['ENSMUST00000004565', 'ENSMUST00000156213']",2,2,3,2,1,85,Ralb_ENSMUSG00000004451,Ralb-201_ENSMUST00000004565,0,17
85,1,ENSMUSG00000004451,119504794,"['ENSMUST00000004565', 'ENSMUST00000156213']",2,2,3,2,1,85,Ralb_ENSMUSG00000004451,Ralb-203_ENSMUST00000156213,0,17
97,1,ENSMUSG00000004768,33719887,"['ENSMUST00000195006', 'ENSMUST00000140354']",2,2,10,2,8,97,Rab23_ENSMUSG00000004768,Rab23-210_ENSMUST00000195006,0,18
97,1,ENSMUSG00000004768,33719887,"['ENSMUST00000195006', 'ENSMUST00000140354']",2,2,10,2,8,97,Rab23_ENSMUSG00000004768,Rab23-207_ENSMUST00000140354,0,18
98,1,ENSMUSG00000004768,33719895,['ENSMUST00000088287'],1,1,10,2,8,98,Rab23_ENSMUSG00000004768,Rab23-201_ENSMUST00000088287,0,19
100,1,ENSMUSG00000004768,33719910,['ENSMUST00000135330'],1,1,10,2,8,100,Rab23_ENSMUSG00000004768,Rab23-205_ENSMUST00000135330,0,20
101,1,ENSMUSG00000004768,33720138,['ENSMUST00000151482'],1,1,10,2,8,101,Rab23_ENSMUSG00000004768,Rab23-209_ENSMUST00000151482,0,21
102,1,ENSMUSG00000004768,33720407,['ENSMUST00000115174'],1,1,10,2,8,102,Rab23_ENSMUSG00000004768,Rab23-202_ENSMUST00000115174,0,22
103,1,ENSMUSG00000004768,33734528,['ENSMUST00000150593'],1,1,10,2,8,103,Rab23_ENSMUSG00000004768,Rab23-208_ENSMUST00000150593,0,23
105,1,ENSMUSG00000004768,33738137,['ENSMUST00000132066'],1,1,10,2,8,105,Rab23_ENSMUSG00000004768,Rab23-204_ENSMUST00000132066,0,24
124,1,ENSMUSG00000005501,87951673,['ENSMUST00000186670'],1,1,9,2,7,124,Usp40_ENSMUSG00000005501,Usp40-203_ENSMUST00000186670,0,25
125,1,ENSMUSG00000005501,87967195,['ENSMUST00000190446'],1,1,9,2,7,125,Usp40_ENSMUSG00000005501,Usp40-209_ENSMUST00000190446,0,26
126,1,ENSMUSG00000005501,87975898,['ENSMUST00000189409'],1,1,9,2,7,126,Usp40_ENSMUSG00000005501,Usp40-207_ENSMUST00000189409,0,27
127,1,ENSMUSG00000005501,88008229,['ENSMUST00000187871'],1,1,9,2,7,127,Usp40_ENSMUSG00000005501,Usp40-205_ENSMUST00000187871,0,28
128,1,ENSMUSG00000005501,88008528,['ENSMUST00000186315'],1,1,9,2,7,128,Usp40_ENSMUSG00000005501,Usp40-202_ENSMUST00000186315,0,29
130,1,ENSMUSG00000005501,88008550,['ENSMUST00000189586'],1,1,9,2,7,130,Usp40_ENSMUSG00000005501,Usp40-208_ENSMUST00000189586,0,30
131,1,ENSMUSG00000005501,88008551,['ENSMUST00000040783'],1,1,9,2,7,131,Usp40_ENSMUSG00000005501,Usp40-201_ENSMUST00000040783,0,31
142,1,ENSMUSG00000005677,171213986,['ENSMUST00000155126'],1,1,8,2,6,142,Nr1i3_ENSMUSG00000005677,Nr1i3-208_ENSMUST00000155126,0,32
156,1,ENSMUSG00000005763,165864655,['ENSMUST00000162411'],1,1,9,3,4,156,Cd247_ENSMUSG00000005763,Cd247-207_ENSMUST00000162411,0,33
157,1,ENSMUSG00000005886,13146630,['ENSMUST00000185275'],1,1,11,3,6,157,Ncoa2_ENSMUSG00000005886,Ncoa2-211_ENSMUST00000185275,0,34
158,1,ENSMUSG00000005886,13148507,['ENSMUST00000146784'],1,1,11,3,6,158,Ncoa2_ENSMUSG00000005886,Ncoa2-209_ENSMUST00000146784,0,35
159,1,ENSMUSG00000005886,13151018,['ENSMUST00000133232'],1,1,11,3,6,159,Ncoa2_ENSMUSG00000005886,Ncoa2-205_ENSMUST00000133232,0,36
160,1,ENSMUSG00000005886,13299722,['ENSMUST00000145280'],1,1,11,3,6,160,Ncoa2_ENSMUSG00000005886,Ncoa2-208_ENSMUST00000145280,0,37
161,1,ENSMUSG00000005886,13372429,['ENSMUST00000139970'],1,1,11,3,6,161,Ncoa2_ENSMUSG00000005886,Ncoa2-206_ENSMUST00000139970,0,38
162,1,ENSMUSG00000005886,13372439,['ENSMUST00000081713'],1,1,11,3,6,162,Ncoa2_ENSMUSG00000005886,Ncoa2-203_ENSMUST00000081713,0,39
164,1,ENSMUSG00000005886,13374083,"['ENSMUST00000068304', 'ENSMUST00000006037', 'ENSMUST00000147927']",3,3,11,3,6,164,Ncoa2_ENSMUSG00000005886,Ncoa2-202_ENSMUST00000068304,0,40
164,1,ENSMUSG00000005886,13374083,"['ENSMUST00000068304', 'ENSMUST00000006037', 'ENSMUST00000147927']",3,3,11,3,6,164,Ncoa2_ENSMUSG00000005886,Ncoa2-201_ENSMUST00000006037,0,40
164,1,ENSMUSG00000005886,13374083,"['ENSMUST00000068304', 'ENSMUST00000006037', 'ENSMUST00000147927']",3,3,11,3,6,164,Ncoa2_ENSMUSG00000005886,Ncoa2-210_ENSMUST00000147927,0,40
253,1,ENSMUSG00000008475,152766542,"['ENSMUST00000077755', 'ENSMUST00000097536']",2,2,3,2,1,253,Arpc5_ENSMUSG00000008475,Arpc5-201_ENSMUST00000077755,0,41
253,1,ENSMUSG00000008475,152766542,"['ENSMUST00000077755', 'ENSMUST00000097536']",2,2,3,2,1,253,Arpc5_ENSMUSG00000008475,Arpc5-202_ENSMUST00000097536,0,41
254,1,ENSMUSG00000008475,152768499,['ENSMUST00000143008'],1,1,3,2,1,254,Arpc5_ENSMUSG00000008475,Arpc5-203_ENSMUST00000143008,0,42
285,1,ENSMUSG00000010453,36368014,['ENSMUST00000186470'],1,1,9,2,5,285,Kansl3_ENSMUSG00000010453,Kansl3-205_ENSMUST00000186470,0,43
286,1,ENSMUSG00000010453,36368041,"['ENSMUST00000188528', 'ENSMUST00000187628']",2,2,9,2,5,286,Kansl3_ENSMUSG00000010453,Kansl3-207_ENSMUST00000188528,0,44
286,1,ENSMUSG00000010453,36368041,"['ENSMUST00000188528', 'ENSMUST00000187628']",2,2,9,2,5,286,Kansl3_ENSMUSG00000010453,Kansl3-206_ENSMUST00000187628,0,44
289,1,ENSMUSG00000010453,36369157,"['ENSMUST00000185912', 'ENSMUST00000185614']",2,2,9,2,5,289,Kansl3_ENSMUSG00000010453,Kansl3-204_ENSMUST00000185912,0,45
289,1,ENSMUSG00000010453,36369157,"['ENSMUST00000185912', 'ENSMUST00000185614']",2,2,9,2,5,289,Kansl3_ENSMUSG00000010453,Kansl3-202_ENSMUST00000185614,0,45
290,1,ENSMUSG00000010453,36369171,['ENSMUST00000188961'],1,1,9,2,5,290,Kansl3_ENSMUSG00000010453,Kansl3-209_ENSMUST00000188961,0,46
291,1,ENSMUSG00000010453,36369181,['ENSMUST00000010597'],1,1,9,2,5,291,Kansl3_ENSMUSG00000010453,Kansl3-201_ENSMUST00000010597,0,47
313,1,ENSMUSG00000013593,171235540,['ENSMUST00000138069'],1,1,8,3,5,313,Ndufs2_ENSMUSG00000013593,Ndufs2-205_ENSMUST00000138069,0,48
314,1,ENSMUSG00000013593,171237528,['ENSMUST00000150108'],1,1,8,3,5,314,Ndufs2_ENSMUSG00000013593,Ndufs2-206_ENSMUST00000150108,0,49
315,1,ENSMUSG00000013593,171240055,['ENSMUST00000131286'],1,1,8,3,5,315,Ndufs2_ENSMUSG00000013593,Ndufs2-203_ENSMUST00000131286,0,50
316,1,ENSMUSG00000013593,171247122,"['ENSMUST00000013737', 'ENSMUST00000136976', 'ENSMUST00000111318']",3,3,8,3,5,316,Ndufs2_ENSMUSG00000013593,Ndufs2-201_ENSMUST00000013737,0,51
316,1,ENSMUSG00000013593,171247122,"['ENSMUST00000013737', 'ENSMUST00000136976', 'ENSMUST00000111318']",3,3,8,3,5,316,Ndufs2_ENSMUSG00000013593,Ndufs2-204_ENSMUST00000136976,0,51
316,1,ENSMUSG00000013593,171247122,"['ENSMUST00000013737', 'ENSMUST00000136976', 'ENSMUST00000111318']",3,3,8,3,5,316,Ndufs2_ENSMUSG00000013593,Ndufs2-202_ENSMUST00000111318,0,51
317,1,ENSMUSG00000013593,171251251,['ENSMUST00000194778'],1,1,8,3,5,317,Ndufs2_ENSMUSG00000013593,Ndufs2-208_ENSMUST00000194778,0,52
319,1,ENSMUSG00000013698,172199815,['ENSMUST00000125361'],1,1,5,3,2,319,Pea15a_ENSMUSG00000013698,Pea15a-203_ENSMUST00000125361,0,53
320,1,ENSMUSG00000013698,172206697,['ENSMUST00000155109'],1,1,5,3,2,320,Pea15a_ENSMUSG00000013698,Pea15a-205_ENSMUST00000155109,0,54
321,1,ENSMUSG00000013698,172206804,"['ENSMUST00000013842', 'ENSMUST00000111247', 'ENSMUST00000152432']",3,3,5,3,2,321,Pea15a_ENSMUSG00000013698,Pea15a-201_ENSMUST00000013842,0,55
321,1,ENSMUSG00000013698,172206804,"['ENSMUST00000013842', 'ENSMUST00000111247', 'ENSMUST00000152432']",3,3,5,3,2,321,Pea15a_ENSMUSG00000013698,Pea15a-202_ENSMUST00000111247,0,55
321,1,ENSMUSG00000013698,172206804,"['ENSMUST00000013842', 'ENSMUST00000111247', 'ENSMUST00000152432']",3,3,5,3,2,321,Pea15a_ENSMUSG00000013698,Pea15a-204_ENSMUST00000152432,0,55
332,1,ENSMUSG00000013997,171344467,['ENSMUST00000136339'],1,1,8,2,6,332,Nit1_ENSMUSG00000013997,Nit1-204_ENSMUST00000136339,0,56
333,1,ENSMUSG00000013997,171345482,['ENSMUST00000146428'],1,1,8,2,6,333,Nit1_ENSMUSG00000013997,Nit1-206_ENSMUST00000146428,0,57
334,1,ENSMUSG00000013997,171345625,['ENSMUST00000156856'],1,1,8,2,6,334,Nit1_ENSMUSG00000013997,Nit1-208_ENSMUST00000156856,0,58
336,1,ENSMUSG00000013997,171345640,['ENSMUST00000141357'],1,1,8,2,6,336,Nit1_ENSMUSG00000013997,Nit1-205_ENSMUST00000141357,0,59
338,1,ENSMUSG00000013997,171345646,['ENSMUST00000111289'],1,1,8,2,6,338,Nit1_ENSMUSG00000013997,Nit1-201_ENSMUST00000111289,0,60
360,1,ENSMUSG00000015222,66175273,['ENSMUST00000156636'],1,1,24,2,22,360,Map2_ENSMUSG00000015222,Map2-218_ENSMUST00000156636,0,61
362,1,ENSMUSG00000015222,66175316,['ENSMUST00000114015'],1,1,24,2,22,362,Map2_ENSMUSG00000015222,Map2-205_ENSMUST00000114015,0,62
363,1,ENSMUSG00000015222,66175471,['ENSMUST00000124873'],1,1,24,2,22,363,Map2_ENSMUSG00000015222,Map2-209_ENSMUST00000124873,0,63
364,1,ENSMUSG00000015222,66175550,['ENSMUST00000125844'],1,1,24,2,22,364,Map2_ENSMUSG00000015222,Map2-210_ENSMUST00000125844,0,64
365,1,ENSMUSG00000015222,66251647,['ENSMUST00000114018'],1,1,24,2,22,365,Map2_ENSMUSG00000015222,Map2-207_ENSMUST00000114018,0,65
366,1,ENSMUSG00000015222,66251662,['ENSMUST00000024639'],1,1,24,2,22,366,Map2_ENSMUSG00000015222,Map2-201_ENSMUST00000024639,0,66
367,1,ENSMUSG00000015222,66321719,['ENSMUST00000114013'],1,1,24,2,22,367,Map2_ENSMUSG00000015222,Map2-204_ENSMUST00000114013,0,67
368,1,ENSMUSG00000015222,66321836,['ENSMUST00000128673'],1,1,24,2,22,368,Map2_ENSMUSG00000015222,Map2-212_ENSMUST00000128673,0,68
369,1,ENSMUSG00000015222,66321998,['ENSMUST00000137807'],1,1,24,2,22,369,Map2_ENSMUSG00000015222,Map2-214_ENSMUST00000137807,0,69
370,1,ENSMUSG00000015222,66322102,['ENSMUST00000123647'],1,1,24,2,22,370,Map2_ENSMUSG00000015222,Map2-208_ENSMUST00000123647,0,70
371,1,ENSMUSG00000015222,66364655,['ENSMUST00000077355'],1,1,24,2,22,371,Map2_ENSMUSG00000015222,Map2-202_ENSMUST00000077355,0,71
372,1,ENSMUSG00000015222,66364658,['ENSMUST00000114012'],1,1,24,2,22,372,Map2_ENSMUSG00000015222,Map2-203_ENSMUST00000114012,0,72
373,1,ENSMUSG00000015222,66380512,['ENSMUST00000173855'],1,1,24,2,22,373,Map2_ENSMUSG00000015222,Map2-223_ENSMUST00000173855,0,73
374,1,ENSMUSG00000015222,66380702,['ENSMUST00000141148'],1,1,24,2,22,374,Map2_ENSMUSG00000015222,Map2-215_ENSMUST00000141148,0,74
376,1,ENSMUSG00000015222,66386978,['ENSMUST00000145419'],1,1,24,2,22,376,Map2_ENSMUSG00000015222,Map2-216_ENSMUST00000145419,0,75
377,1,ENSMUSG00000015222,66386985,['ENSMUST00000127388'],1,1,24,2,22,377,Map2_ENSMUSG00000015222,Map2-211_ENSMUST00000127388,0,76
378,1,ENSMUSG00000015222,66387011,['ENSMUST00000174590'],1,1,24,2,22,378,Map2_ENSMUSG00000015222,Map2-224_ENSMUST00000174590,0,77
379,1,ENSMUSG00000015222,66415261,['ENSMUST00000133522'],1,1,24,2,22,379,Map2_ENSMUSG00000015222,Map2-213_ENSMUST00000133522,0,78
381,1,ENSMUSG00000015222,66416791,['ENSMUST00000173800'],1,1,24,2,22,381,Map2_ENSMUSG00000015222,Map2-222_ENSMUST00000173800,0,79
382,1,ENSMUSG00000015222,66433575,['ENSMUST00000172486'],1,1,24,2,22,382,Map2_ENSMUSG00000015222,Map2-219_ENSMUST00000172486,0,80
428,1,ENSMUSG00000016200,193035644,['ENSMUST00000191907'],1,1,5,2,3,428,Syt14_ENSMUSG00000016200,Syt14-202_ENSMUST00000191907,0,81
429,1,ENSMUSG00000016200,193035662,['ENSMUST00000195530'],1,1,5,2,3,429,Syt14_ENSMUSG00000016200,Syt14-204_ENSMUST00000195530,0,82
430,1,ENSMUSG00000016200,193035717,['ENSMUST00000016344'],1,1,5,2,3,430,Syt14_ENSMUSG00000016200,Syt14-201_ENSMUST00000016344,0,83
431,1,ENSMUSG00000016200,193035775,"['ENSMUST00000215093', 'ENSMUST00000195354']",2,2,5,2,3,431,Syt14_ENSMUSG00000016200,Syt14-205_ENSMUST00000215093,0,84
431,1,ENSMUSG00000016200,193035775,"['ENSMUST00000215093', 'ENSMUST00000195354']",2,2,5,2,3,431,Syt14_ENSMUSG00000016200,Syt14-203_ENSMUST00000195354,0,84
432,1,ENSMUSG00000016262,192851747,"['ENSMUST00000016406', 'ENSMUST00000155503']",2,2,4,2,2,432,Sertad4_ENSMUSG00000016262,Sertad4-201_ENSMUST00000016406,0,85
432,1,ENSMUSG00000016262,192851747,"['ENSMUST00000016406', 'ENSMUST00000155503']",2,2,4,2,2,432,Sertad4_ENSMUSG00000016262,Sertad4-203_ENSMUST00000155503,0,85
433,1,ENSMUSG00000016262,192855486,['ENSMUST00000125391'],1,1,4,2,2,433,Sertad4_ENSMUSG00000016262,Sertad4-202_ENSMUST00000125391,0,86
434,1,ENSMUSG00000016262,192855756,['ENSMUST00000155579'],1,1,4,2,2,434,Sertad4_ENSMUSG00000016262,Sertad4-204_ENSMUST00000155579,0,87
481,1,ENSMUSG00000018196,143716338,['ENSMUST00000185367'],1,1,13,2,11,481,Glrx2_ENSMUSG00000018196,Glrx2-211_ENSMUST00000185367,0,88
482,1,ENSMUSG00000018196,143739029,['ENSMUST00000145969'],1,1,13,2,11,482,Glrx2_ENSMUSG00000018196,Glrx2-206_ENSMUST00000145969,0,89
483,1,ENSMUSG00000018196,143739557,"['ENSMUST00000126514', 'ENSMUST00000185362']",2,2,13,2,11,483,Glrx2_ENSMUSG00000018196,Glrx2-203_ENSMUST00000126514,0,90
483,1,ENSMUSG00000018196,143739557,"['ENSMUST00000126514', 'ENSMUST00000185362']",2,2,13,2,11,483,Glrx2_ENSMUSG00000018196,Glrx2-210_ENSMUST00000185362,0,90
484,1,ENSMUSG00000018196,143739566,['ENSMUST00000148600'],1,1,13,2,11,484,Glrx2_ENSMUSG00000018196,Glrx2-207_ENSMUST00000148600,0,91
485,1,ENSMUSG00000018196,143739610,['ENSMUST00000149103'],1,1,13,2,11,485,Glrx2_ENSMUSG00000018196,Glrx2-208_ENSMUST00000149103,0,92
486,1,ENSMUSG00000018196,143739615,['ENSMUST00000111957'],1,1,13,2,11,486,Glrx2_ENSMUSG00000018196,Glrx2-202_ENSMUST00000111957,0,93
487,1,ENSMUSG00000018196,143739618,['ENSMUST00000145571'],1,1,13,2,11,487,Glrx2_ENSMUSG00000018196,Glrx2-205_ENSMUST00000145571,0,94
488,1,ENSMUSG00000018196,143739646,['ENSMUST00000050491'],1,1,13,2,11,488,Glrx2_ENSMUSG00000018196,Glrx2-201_ENSMUST00000050491,0,95
489,1,ENSMUSG00000018196,143740375,['ENSMUST00000129653'],1,1,13,2,11,489,Glrx2_ENSMUSG00000018196,Glrx2-204_ENSMUST00000129653,0,96
490,1,ENSMUSG00000018196,143743415,['ENSMUST00000190211'],1,1,13,2,11,490,Glrx2_ENSMUSG00000018196,Glrx2-213_ENSMUST00000190211,0,97
491,1,ENSMUSG00000018196,143744983,['ENSMUST00000188783'],1,1,13,2,11,491,Glrx2_ENSMUSG00000018196,Glrx2-212_ENSMUST00000188783,0,98
492,1,ENSMUSG00000018196,143745971,['ENSMUST00000152435'],1,1,13,2,11,492,Glrx2_ENSMUSG00000018196,Glrx2-209_ENSMUST00000152435,0,99
524,1,ENSMUSG00000022995,181908404,['ENSMUST00000195703'],1,1,16,4,10,524,Enah_ENSMUSG00000022995,Enah-214_ENSMUST00000195703,0,100
525,1,ENSMUSG00000022995,181912597,['ENSMUST00000192768'],1,1,16,4,10,525,Enah_ENSMUSG00000022995,Enah-208_ENSMUST00000192768,0,101
526,1,ENSMUSG00000022995,181917360,['ENSMUST00000195788'],1,1,16,4,10,526,Enah_ENSMUSG00000022995,Enah-215_ENSMUST00000195788,0,102
528,1,ENSMUSG00000022995,181940585,['ENSMUST00000195461'],1,1,16,4,10,528,Enah_ENSMUSG00000022995,Enah-213_ENSMUST00000195461,0,103
529,1,ENSMUSG00000022995,181956512,['ENSMUST00000195840'],1,1,16,4,10,529,Enah_ENSMUSG00000022995,Enah-216_ENSMUST00000195840,0,104
530,1,ENSMUSG00000022995,182014404,['ENSMUST00000193074'],1,1,16,4,10,530,Enah_ENSMUSG00000022995,Enah-210_ENSMUST00000193074,0,105
532,1,ENSMUSG00000022995,182019676,['ENSMUST00000192497'],1,1,16,4,10,532,Enah_ENSMUSG00000022995,Enah-207_ENSMUST00000192497,0,106
534,1,ENSMUSG00000022995,182019990,['ENSMUST00000111024'],1,1,16,4,10,534,Enah_ENSMUSG00000022995,Enah-202_ENSMUST00000111024,0,107
614,1,ENSMUSG00000025915,9798107,['ENSMUST00000166384'],1,1,12,2,8,614,Sgk3_ENSMUSG00000025915,Sgk3-202_ENSMUST00000166384,0,108
615,1,ENSMUSG00000025915,9798143,"['ENSMUST00000188782', 'ENSMUST00000168907']",2,2,12,2,8,615,Sgk3_ENSMUSG00000025915,Sgk3-209_ENSMUST00000188782,0,109
615,1,ENSMUSG00000025915,9798143,"['ENSMUST00000188782', 'ENSMUST00000168907']",2,2,12,2,8,615,Sgk3_ENSMUSG00000025915,Sgk3-203_ENSMUST00000168907,0,109
616,1,ENSMUSG00000025915,9798158,['ENSMUST00000188625'],1,1,12,2,8,616,Sgk3_ENSMUSG00000025915,Sgk3-207_ENSMUST00000188625,0,110
617,1,ENSMUSG00000025915,9798185,['ENSMUST00000188738'],1,1,12,2,8,617,Sgk3_ENSMUSG00000025915,Sgk3-208_ENSMUST00000188738,0,111
618,1,ENSMUSG00000025915,9798208,['ENSMUST00000188298'],1,1,12,2,8,618,Sgk3_ENSMUSG00000025915,Sgk3-205_ENSMUST00000188298,0,112
619,1,ENSMUSG00000025915,9848272,['ENSMUST00000171265'],1,1,12,2,8,619,Sgk3_ENSMUSG00000025915,Sgk3-204_ENSMUST00000171265,0,113
620,1,ENSMUSG00000025915,9848321,"['ENSMUST00000188830', 'ENSMUST00000189050']",2,2,12,2,8,620,Sgk3_ENSMUSG00000025915,Sgk3-210_ENSMUST00000188830,0,114
620,1,ENSMUSG00000025915,9848321,"['ENSMUST00000188830', 'ENSMUST00000189050']",2,2,12,2,8,620,Sgk3_ENSMUSG00000025915,Sgk3-211_ENSMUST00000189050,0,114
621,1,ENSMUSG00000025915,9848397,['ENSMUST00000097826'],1,1,12,2,8,621,Sgk3_ENSMUSG00000025915,Sgk3-201_ENSMUST00000097826,0,115
622,1,ENSMUSG00000025915,9883467,['ENSMUST00000191338'],1,1,12,2,8,622,Sgk3_ENSMUSG00000025915,Sgk3-212_ENSMUST00000191338,0,116
623,1,ENSMUSG00000025915,9895427,['ENSMUST00000188486'],1,1,12,2,8,623,Sgk3_ENSMUSG00000025915,Sgk3-206_ENSMUST00000188486,0,117
624,1,ENSMUSG00000025916,9985692,['ENSMUST00000147000'],1,1,6,3,3,624,Ppp1r42_ENSMUSG00000025916,Ppp1r42-204_ENSMUST00000147000,0,118
625,1,ENSMUSG00000025916,10003453,['ENSMUST00000124874'],1,1,6,3,3,625,Ppp1r42_ENSMUSG00000025916,Ppp1r42-202_ENSMUST00000124874,0,119
626,1,ENSMUSG00000025916,10009130,"['ENSMUST00000130102', 'ENSMUST00000176398', 'ENSMUST00000155163']",3,3,6,3,3,626,Ppp1r42_ENSMUSG00000025916,Ppp1r42-203_ENSMUST00000130102,0,120
626,1,ENSMUSG00000025916,10009130,"['ENSMUST00000130102', 'ENSMUST00000176398', 'ENSMUST00000155163']",3,3,6,3,3,626,Ppp1r42_ENSMUSG00000025916,Ppp1r42-206_ENSMUST00000176398,0,120
626,1,ENSMUSG00000025916,10009130,"['ENSMUST00000130102', 'ENSMUST00000176398', 'ENSMUST00000155163']",3,3,6,3,3,626,Ppp1r42_ENSMUSG00000025916,Ppp1r42-205_ENSMUST00000155163,0,120
627,1,ENSMUSG00000025916,10009136,['ENSMUST00000027049'],1,1,6,3,3,627,Ppp1r42_ENSMUSG00000025916,Ppp1r42-201_ENSMUST00000027049,0,121
635,1,ENSMUSG00000025920,16375395,['ENSMUST00000115360'],1,1,17,2,13,635,Stau2_ENSMUSG00000025920,Stau2-204_ENSMUST00000115360,0,122
